Nov 21 12:42:41 hmland node[4131420]: [12:42:41,086] [INFO] [system] Ladestrom angepasst: 8A → 9A @ 1P
Nov 21 12:50:41 hmland node[4131420]: [12:50:41,193] [INFO] [system] Ladestrom angepasst: 9A → 8A @ 1P
Nov 21 12:51:22 hmland node[4131420]: [12:51:22,193] [INFO] [system] Ladestrom angepasst: 8A → 9A @ 1P
Nov 21 12:57:01 hmland node[4131420]: [12:57:01,245] [INFO] [system] Ladestrom angepasst: 9A → 8A @ 1P
Nov 21 12:57:41 hmland node[4131420]: [12:57:41,248] [INFO] [system] Ladestrom angepasst: 8A → 9A @ 1P
Nov 21 13:00:36 hmland node[4131420]: [13:00:36,244] [INFO] [system] Ladestrom angepasst: 9A → 8A @ 1P
Nov 21 13:01:11 hmland node[4131420]: [13:01:11,296] [INFO] [system] Ladestrom angepasst: 8A → 9A @ 1P
Nov 21 13:03:52 hmland node[4131420]: [13:03:52,301] [INFO] [system] Ladestrom angepasst: 9A → 8A @ 1P
Nov 21 13:04:36 hmland node[4131420]: [13:04:36,300] [INFO] [system] Ladestrom angepasst: 8A → 9A @ 1P
Nov 21 13:05:24 hmland node[4131420]: [13:05:24,472] [INFO] [system] Ladestrom angepasst: 9A → 8A @ 1P
Nov 21 13:05:25 hmland node[4131420]: [13:05:25,500] [INFO] [system] Ladestrom angepasst: 9A → 8A @ 1P
Nov 21 13:05:51 hmland node[4131420]: [13:05:51,311] [INFO] [system] [surplus_battery_prio] Überschuss unter Schwellwert: 345W < 1000W - Stopp-Timer gestartet
Nov 21 13:05:51 hmland node[4131420]: [13:05:51,313] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:05:53 hmland node[4131420]: [13:05:53,406] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:05:54 hmland node[4131420]: [13:05:54,450] [INFO] [system] Ladung gestoppt
Nov 21 13:05:54 hmland node[4131420]: [13:05:54,539] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
Nov 21 13:05:55 hmland node[4131420]: [13:05:55,499] [INFO] [system] Ladung gestoppt
Nov 21 13:06:10 hmland node[4131420]: [13:06:10,261] [INFO] [system] Start-Bedingung erfüllt: Überschuss 1693.8W > 1500W für 1439.901s
Nov 21 13:06:12 hmland node[4131420]: [13:06:12,416] [INFO] [system] Ladung gestartet mit 7A @ 1P (Strategie: surplus_battery_prio)
Nov 21 13:06:14 hmland node[4131420]: [13:06:14,475] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 5 → 2 (ready for charging) (von 192.168.40.16)
Nov 21 13:06:15 hmland node[4131420]: [13:06:15,487] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 2 → 3 (charging) (von 192.168.40.16)
Nov 21 13:06:21 hmland node[4131420]: [13:06:21,272] [INFO] [system] [surplus_battery_prio] Überschuss unter Schwellwert: 988W < 1000W - Stopp-Timer gestartet
Nov 21 13:06:21 hmland node[4131420]: [13:06:21,274] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:06:23 hmland node[4131420]: [13:06:23,370] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:06:24 hmland node[4131420]: [13:06:24,415] [INFO] [system] Ladung gestoppt
Nov 21 13:06:24 hmland node[4131420]: [13:06:24,486] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
Nov 21 13:06:25 hmland node[4131420]: [13:06:25,465] [INFO] [system] Ladung gestoppt
Nov 21 13:07:00 hmland node[4131420]: [13:07:00,275] [INFO] [system] Start-Bedingung erfüllt: Überschuss 1839.6000000000001W > 1500W für 30.002s
Nov 21 13:07:02 hmland node[4131420]: [13:07:02,462] [INFO] [system] Ladung gestartet mit 8A @ 1P (Strategie: surplus_battery_prio)
Nov 21 13:07:04 hmland node[4131420]: [13:07:04,542] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 5 → 2 (ready for charging) (von 192.168.40.16)
Nov 21 13:07:05 hmland node[4131420]: [13:07:05,554] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 2 → 3 (charging) (von 192.168.40.16)
Nov 21 13:07:05 hmland node[4131420]: [13:07:05,612] [INFO] [system] [RECONCILE] Context sagt isActive=true, aber Wallbox lädt nicht (State=2, Power=0mW) → setze isActive=false
Nov 21 13:07:10 hmland node[4131420]: [13:07:10,262] [INFO] [system] [RECONCILE] Context sagt isActive=false, aber Wallbox lädt (State=3, Power=1728870mW) → setze isActive=true
Nov 21 13:07:10 hmland node[4131420]: [13:07:10,273] [INFO] [system] [surplus_battery_prio] Überschuss unter Schwellwert: 324W < 1000W - Stopp-Timer gestartet
Nov 21 13:07:10 hmland node[4131420]: [13:07:10,275] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:07:11 hmland node[4131420]: [13:07:11,314] [INFO] [system] Ladung gestoppt
Nov 21 13:07:11 hmland node[4131420]: [13:07:11,354] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
Nov 21 13:07:40 hmland node[4131420]: [13:07:40,274] [INFO] [system] Start-Bedingung erfüllt: Überschuss 1853.1000000000001W > 1500W für 34.649s
Nov 21 13:07:42 hmland node[4131420]: [13:07:42,430] [INFO] [system] Ladung gestartet mit 8A @ 1P (Strategie: surplus_battery_prio)
Nov 21 13:07:44 hmland node[4131420]: [13:07:44,510] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 5 → 2 (ready for charging) (von 192.168.40.16)
Nov 21 13:07:45 hmland node[4131420]: [13:07:45,522] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 2 → 3 (charging) (von 192.168.40.16)
Nov 21 13:07:50 hmland node[4131420]: [13:07:50,239] [INFO] [system] [surplus_battery_prio] Überschuss unter Schwellwert: 301W < 1000W - Stopp-Timer gestartet
